Timestamp,Station Name,Rain Value,Station Longitude,Station Latitude
2024-11-10T00:20:00+08:00,Airport Boulevard,0,103.98409,1.34392
2024-11-10T00:20:00+08:00,Alexandra Road,0,103.8125,1.2937
2024-11-10T00:20:00+08:00,Ang Mo Kio Avenue 10,0,103.85335,1.36019
2024-11-10T00:20:00+08:00,Ang Mo Kio Avenue 5,0,103.8492,1.3764
2024-11-10T00:20:00+08:00,Banyan Road,0,103.679,1.256
2024-11-10T00:20:00+08:00,Bedok Road,0,103.95836,1.32485
2024-11-10T00:20:00+08:00,Bishan Street 13,0,103.85526,1.35041
2024-11-10T00:20:00+08:00,Bukit Batok Street 34,0,103.75065,1.36491
2024-11-10T00:20:00+08:00,Bukit Panjang Road,0,103.7603,1.3824
2024-11-10T00:20:00+08:00,Bukit Timah Road,0,103.8191,1.3191
2024-11-10T00:20:00+08:00,Changi East Close,0,104.00317,1.3136
2024-11-10T00:20:00+08:00,Choa Chu Kang Avenue 4,0,103.73,1.38
2024-11-10T00:20:00+08:00,Clementi Park,0,103.76714,1.32311
2024-11-10T00:20:00+08:00,Clementi Road,0,103.7768,1.3337
2024-11-10T00:20:00+08:00,Compassvale Lane,0,103.89797,1.38666
2024-11-10T00:20:00+08:00,Coronation Walk,0,103.8097,1.32427
2024-11-10T00:20:00+08:00,East Coast Parkway,0,103.9625,1.3135
2024-11-10T00:20:00+08:00,Geylang East Central,0,103.88899,1.32785
2024-11-10T00:20:00+08:00,Henderson Road,0,103.82364,1.28987
2024-11-10T00:20:00+08:00,Hougang Avenue 1,0,103.89088,1.35691
2024-11-10T00:20:00+08:00,Jurong Pier Road,0,103.71,1.3081
2024-11-10T00:20:00+08:00,Jurong West Street 42,0,103.72195,1.35167
2024-11-10T00:20:00+08:00,Jurong West Street 73,0,103.70073,1.34703
2024-11-10T00:20:00+08:00,Kent Ridge Road,0,103.7815,1.2923
2024-11-10T00:20:00+08:00,Kim Chuan Road,0,103.8878,1.3399
2024-11-10T00:20:00+08:00,Kranji Road,0,103.75711,1.42918
2024-11-10T00:20:00+08:00,Kranji Way,0,103.7363,1.4387
2024-11-10T00:20:00+08:00,Lornie Road,0,103.8334,1.3415
2024-11-10T00:20:00+08:00,Malan Road,0,103.80389,1.27472
2024-11-10T00:20:00+08:00,Mandai Lake Road,0,103.78962,1.4044
2024-11-10T00:20:00+08:00,Margaret Drive,0,103.80264,1.29984
2024-11-10T00:20:00+08:00,Marine Parade Road,0,103.9104,1.30648
2024-11-10T00:20:00+08:00,Nanyang Avenue,0,103.68166,1.34583
2024-11-10T00:20:00+08:00,Nicoll Highway,0,103.8666,1.30105
2024-11-10T00:20:00+08:00,Old Choa Chu Kang Road,0,103.72244,1.37288
2024-11-10T00:20:00+08:00,Old Toh Tuck Road,0,103.7556,1.3329
